1 length=	195471971	Aligned= 10177633	Unaligned= 8289
10 length=	130694993	Aligned= 6766046	Unaligned= 4752
11 length=	122082543	Aligned= 6435020	Unaligned= 5813
12 length=	120129022	Aligned= 6551815	Unaligned= 5654
13 length=	120421639	Aligned= 6228517	Unaligned= 5243
14 length=	124902244	Aligned= 6522456	Unaligned= 4793
15 length=	104043685	Aligned= 5299964	Unaligned= 3664
16 length=	98207768	Aligned= 4968613	Unaligned= 5026
17 length=	94987271	Aligned= 4934768	Unaligned= 6259
18 length=	90702639	Aligned= 4607527	Unaligned= 4332
19 length=	61431566	Aligned= 3067951	Unaligned= 2463
2 length=	182113224	Aligned= 14005644	Unaligned= 8744
3 length=	160039680	Aligned= 8082547	Unaligned= 5999
4 length=	156508116	Aligned= 8086951	Unaligned= 6820
5 length=	151834684	Aligned= 7827353	Unaligned= 6432
6 length=	149736546	Aligned= 7862435	Unaligned= 6498
7 length=	145441459	Aligned= 7410941	Unaligned= 5446
8 length=	129401213	Aligned= 6723793	Unaligned= 5834
9 length=	124595110	Aligned= 10099738	Unaligned= 6795
MT length=	16299	Aligned= 74362	Unaligned= 33
X length=	171031299	Aligned= 8272534	Unaligned= 5496
Y length=	91744698	Aligned= 76777	Unaligned= 307
JH584299.1 length=	953012	Aligned= 16275	Unaligned= 7
GL456233.1 length=	336933	Aligned= 14967	Unaligned= 15
JH584301.1 length=	259875	Aligned= 88	Unaligned= 2
GL456211.1 length=	241735	Aligned= 29358	Unaligned= 14
GL456350.1 length=	227966	Aligned= 11200	Unaligned= 2
JH584293.1 length=	207968	Aligned= 9841	Unaligned= 5
GL456221.1 length=	206961	Aligned= 26989	Unaligned= 15
JH584297.1 length=	205776	Aligned= 3102	Unaligned= 0
JH584296.1 length=	199368	Aligned= 1354	Unaligned= 0
GL456354.1 length=	195993	Aligned= 2663	Unaligned= 3
JH584294.1 length=	191905	Aligned= 8619	Unaligned= 6
JH584298.1 length=	184189	Aligned= 4165	Unaligned= 5
JH584300.1 length=	182347	Aligned= 75	Unaligned= 2
GL456219.1 length=	175968	Aligned= 4644	Unaligned= 3
GL456210.1 length=	169725	Aligned= 17663	Unaligned= 8
JH584303.1 length=	158099	Aligned= 96	Unaligned= 0
JH584302.1 length=	155838	Aligned= 13	Unaligned= 0
GL456212.1 length=	153618	Aligned= 26342	Unaligned= 4
JH584304.1 length=	114452	Aligned= 882030	Unaligned= 712
GL456379.1 length=	72385	Aligned= 3255	Unaligned= 2
GL456216.1 length=	66673	Aligned= 6427	Unaligned= 81
GL456393.1 length=	55711	Aligned= 24086	Unaligned= 383
GL456366.1 length=	47073	Aligned= 2354	Unaligned= 2
GL456367.1 length=	42057	Aligned= 6062	Unaligned= 8
GL456239.1 length=	40056	Aligned= 2858	Unaligned= 35
GL456213.1 length=	39340	Aligned= 1036	Unaligned= 0
GL456383.1 length=	38659	Aligned= 21831	Unaligned= 225
GL456385.1 length=	35240	Aligned= 1873	Unaligned= 1
GL456360.1 length=	31704	Aligned= 1622	Unaligned= 1
GL456378.1 length=	31602	Aligned= 4359	Unaligned= 2
GL456389.1 length=	28772	Aligned= 10100	Unaligned= 87
GL456372.1 length=	28664	Aligned= 1602	Unaligned= 2
GL456370.1 length=	26764	Aligned= 4371	Unaligned= 53
GL456381.1 length=	25871	Aligned= 4837	Unaligned= 58
GL456387.1 length=	24685	Aligned= 6515	Unaligned= 46
GL456390.1 length=	24668	Aligned= 26999	Unaligned= 365
GL456394.1 length=	24323	Aligned= 3168	Unaligned= 27
GL456392.1 length=	23629	Aligned= 20697	Unaligned= 176
GL456382.1 length=	23158	Aligned= 949	Unaligned= 1
GL456359.1 length=	22974	Aligned= 1565	Unaligned= 1
GL456396.1 length=	21240	Aligned= 21004	Unaligned= 232
GL456368.1 length=	20208	Aligned= 3455	Unaligned= 2
JH584292.1 length=	14945	Aligned= 1356	Unaligned= 0
JH584295.1 length=	1976	Aligned= 71	Unaligned= 6
NoCoordinateCount= 122884
